id,ts,time,dataset,group_id,market_id,order_id,order_type,order_side,price,qty,tag,inventory,split
0,1522411472000,2018-03-30 20:04:32.000000,Ag(T+D)@sg,1,45,15224114700001,LIMIT,BID,3594.00005,10,-,10,0
1,1522414974000,2018-03-30 21:02:54.000000,Ag(T+D)@sg,2,300,15224149700001,LIMIT,ASK,3591.99995,10,-,0,0
2,1522415532000,2018-03-30 21:12:12.000000,Ag(T+D)@sg,3,399,15224155300001,LIMIT,BID,3595.00005,10,-,10,0
3,1522415537000,2018-03-30 21:12:17.000000,Ag(T+D)@sg,4,400,15224155350001,LIMIT,BID,3596.00005,10,-,20,0
4,1522415611000,2018-03-30 21:13:31.000000,Ag(T+D)@sg,5,415,15224156100001,LIMIT,BID,3596.00005,10,-,30,0
5,1522415688000,2018-03-30 21:14:48.000000,Ag(T+D)@sg,6,430,15224156850001,LIMIT,ASK,3596.99995,10,-,20,0
6,1522415875000,2018-03-30 21:17:55.000000,Ag(T+D)@sg,7,465,15224158700001,LIMIT,BID,3596.00005,10,-,30,0
7,1522417208000,2018-03-30 21:40:08.000000,Ag(T+D)@sg,8,728,15224172050001,LIMIT,ASK,3595.99995,10,-,20,0
8,1522423767000,2018-03-30 23:29:27.000000,Ag(T+D)@sg,9,1745,15224237650001,LIMIT,BID,3597.00005,10,-,30,0
9,1522423864000,2018-03-30 23:31:04.000000,Ag(T+D)@sg,10,1764,15224238600001,LIMIT,BID,3604.00005,10,-,40,0
10,1522424196000,2018-03-30 23:36:36.000000,Ag(T+D)@sg,11,1831,15224241950001,LIMIT,BID,3602.00005,10,-,50,0
11,1522424400000,2018-03-30 23:40:00.000000,Ag(T+D)@sg,12,1860,15224243950001,LIMIT,BID,3602.00005,10,-,60,0
12,1522424637000,2018-03-30 23:43:57.000000,Ag(T+D)@sg,13,1907,15224246350001,LIMIT,ASK,3600.99995,10,-,50,0
13,1522424747000,2018-03-30 23:45:47.000000,Ag(T+D)@sg,14,1924,15224247450001,LIMIT,BID,3601.00005,10,-,60,0
14,1522425198000,2018-03-30 23:53:18.000000,Ag(T+D)@sg,15,1995,15224251950001,LIMIT,BID,3601.00005,10,-,70,0
