id,dataset,ts,time,order_type,order_side,price,qty
0,Ag(T+D)@sg,1522411255000,2018-03-30 20:00:55.000000,LIMIT,BID,3591.0,10
1,Ag(T+D)@sg,1522411265000,2018-03-30 20:01:05.000000,LIMIT,BID,3591.0,10
2,Ag(T+D)@sg,1522411275000,2018-03-30 20:01:15.000000,LIMIT,BID,3591.0,10
3,Ag(T+D)@sg,1522411285000,2018-03-30 20:01:25.000000,LIMIT,BID,3592.0,10
4,Ag(T+D)@sg,1522411295000,2018-03-30 20:01:35.000000,LIMIT,BID,3592.0,10
5,Ag(T+D)@sg,1522411305000,2018-03-30 20:01:45.000000,LIMIT,BID,3592.0,10
6,Ag(T+D)@sg,1522411315000,2018-03-30 20:01:55.000000,LIMIT,BID,3593.0,10
7,Ag(T+D)@sg,1522411325000,2018-03-30 20:02:05.000000,LIMIT,BID,3593.0,10
8,Ag(T+D)@sg,1522411335000,2018-03-30 20:02:15.000000,LIMIT,BID,3593.0,10
9,Ag(T+D)@sg,1522411345000,2018-03-30 20:02:25.000000,LIMIT,BID,3593.0,10
10,Ag(T+D)@sg,1522411355000,2018-03-30 20:02:35.000000,LIMIT,BID,3593.0,10
11,Ag(T+D)@sg,1522411365000,2018-03-30 20:02:45.000000,LIMIT,BID,3594.0,10
12,Ag(T+D)@sg,1522411375000,2018-03-30 20:02:55.000000,LIMIT,BID,3594.0,10
13,Ag(T+D)@sg,1522411385000,2018-03-30 20:03:05.000000,LIMIT,BID,3594.0,10
14,Ag(T+D)@sg,1522411395000,2018-03-30 20:03:15.000000,LIMIT,BID,3594.0,10
15,Ag(T+D)@sg,1522411405000,2018-03-30 20:03:25.000000,LIMIT,BID,3594.0,10
16,Ag(T+D)@sg,1522411415000,2018-03-30 20:03:35.000000,LIMIT,BID,3594.0,10
17,Ag(T+D)@sg,1522411425000,2018-03-30 20:03:45.000000,LIMIT,BID,3593.0,10
18,Ag(T+D)@sg,1522411435000,2018-03-30 20:03:55.000000,LIMIT,BID,3593.0,10
19,Ag(T+D)@sg,1522411445000,2018-03-30 20:04:05.000000,LIMIT,BID,3593.0,10
20,Ag(T+D)@sg,1522411455000,2018-03-30 20:04:15.000000,LIMIT,BID,3594.0,10
21,Ag(T+D)@sg,1522411465000,2018-03-30 20:04:25.000000,LIMIT,BID,3594.0,10
22,Ag(T+D)@sg,1522411472000,2018-03-30 20:04:32.000000,LIMIT,BID,3594.00005,10
23,Ag(T+D)@sg,1522411480000,2018-03-30 20:04:40.000000,LIMIT,ASK,3594.0,10
24,Ag(T+D)@sg,1522411490000,2018-03-30 20:04:50.000000,LIMIT,ASK,3594.0,10
25,Ag(T+D)@sg,1522411500000,2018-03-30 20:05:00.000000,LIMIT,ASK,3594.0,10
26,Ag(T+D)@sg,1522411510000,2018-03-30 20:05:10.000000,LIMIT,ASK,3594.0,10
27,Ag(T+D)@sg,1522411520000,2018-03-30 20:05:20.000000,LIMIT,ASK,3594.0,10
28,Ag(T+D)@sg,1522411530000,2018-03-30 20:05:30.000000,LIMIT,ASK,3594.0,10
29,Ag(T+D)@sg,1522411540000,2018-03-30 20:05:40.000000,LIMIT,ASK,3594.0,10
30,Ag(T+D)@sg,1522411550000,2018-03-30 20:05:50.000000,LIMIT,ASK,3594.0,10
31,Ag(T+D)@sg,1522411560000,2018-03-30 20:06:00.000000,LIMIT,ASK,3594.0,10
32,Ag(T+D)@sg,1522411570000,2018-03-30 20:06:10.000000,LIMIT,ASK,3594.0,10
33,Ag(T+D)@sg,1522411580000,2018-03-30 20:06:20.000000,LIMIT,ASK,3594.0,10
34,Ag(T+D)@sg,1522411590000,2018-03-30 20:06:30.000000,LIMIT,ASK,3594.0,10
35,Ag(T+D)@sg,1522411600000,2018-03-30 20:06:40.000000,LIMIT,ASK,3594.0,10
36,Ag(T+D)@sg,1522411610000,2018-03-30 20:06:50.000000,LIMIT,ASK,3594.0,10
